Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Raisin City CDP,2021,Annual,100,100,0,35,N,Final
Sub-County Place,Ramona CDP,2021,Annual,10900,10400,500,4.6,N,Final
Sub-County Place,Rancho Calaveras CDP,2021,Annual,3020,2880,140,4.6,N,Final
Sub-County Place,Rancho Cordova City,2021,Annual,36100,33500,2500,7,N,Final
Sub-County Place,Rancho Cucamonga city,2021,Annual,97800,92500,5300,5.4,N,Final
Sub-County Place,Rancho Mirage city,2021,Annual,6700,6000,700,10.3,N,Final
Sub-County Place,Rancho Murieta CDP,2021,Annual,2400,2300,100,3.6,N,Final
Sub-County Place,Rancho Palos Verdes city,2021,Annual,18600,17500,1100,6.1,N,Final
Sub-County Place,Rancho Santa Margarita city,2021,Annual,26300,25000,1300,4.9,N,Final
Sub-County Place,Rancho Tehama Reserve CDP,2021,Annual,540,500,40,7.9,N,Final
Sub-County Place,Randsburg CDP,2021,Annual,0,0,0,0,N,Final
Sub-County Place,Red Bluff city,2021,Annual,5260,4820,440,8.3,N,Final
Sub-County Place,Redding city,2021,Annual,39500,37000,2500,6.4,N,Final
Sub-County Place,Redlands city,2021,Annual,36300,34300,2000,5.5,N,Final
Sub-County Place,Redondo Beach city,2021,Annual,39300,36800,2600,6.5,N,Final
Sub-County Place,Redway CDP,2021,Annual,600,600,0,5.5,N,Final
Sub-County Place,Redwood City city,2021,Annual,48000,46100,1900,3.9,N,Final
Sub-County Place,Reedley city,2021,Annual,12400,10400,2000,15.8,N,Final
Sub-County Place,Rialto city,2021,Annual,46300,42300,4000,8.6,N,Final
Sub-County Place,Richgrove CDP,2021,Annual,900,600,300,35.7,N,Final
Sub-County Place,Richmond city,2021,Annual,51900,47700,4200,8.1,N,Final
Sub-County Place,Ridgecrest city,2021,Annual,13500,12900,600,4.1,N,Final
Sub-County Place,Ridgemark CDP,2021,Annual,1400,1300,100,3.7,N,Final
Sub-County Place,Rio Dell city,2021,Annual,1400,1300,100,6.9,N,Final
Sub-County Place,Rio del Mar CDP,2021,Annual,4500,4200,300,7.2,N,Final
Sub-County Place,Rio Linda CDP,2021,Annual,7000,6700,300,4.2,N,Final
Sub-County Place,Rio Vista city,2021,Annual,3500,2800,600,18,N,Final
Sub-County Place,Ripon city,2021,Annual,7700,7400,200,3,N,Final
Sub-County Place,Riverbank city,2021,Annual,10400,9700,700,6.8,N,Final
Sub-County Place,Riverdale CDP,2021,Annual,1000,900,0,4.9,N,Final
Sub-County Place,Riverside city,2021,Annual,156800,146300,10500,6.7,N,Final
Sub-County Place,Rocklin city,2021,Annual,34300,32700,1600,4.8,N,Final
Sub-County Place,Rodeo CDP,2021,Annual,4500,4100,400,7.8,N,Final
Sub-County Place,Rohnert Park city,2021,Annual,22600,21300,1300,5.7,N,Final
Sub-County Place,Rolling Hills city,2021,Annual,500,500,0,9.1,N,Final
Sub-County Place,Rolling Hills Estates city,2021,Annual,3400,3100,300,9.1,N,Final
